player_name,mfl_player_id,year,position,positional_rank
Joe Burrow,14777,2021,QB,13
Jonathan Taylor,14802,2021,RB,7
Clyde Edwards-Helaire,14803,2021,RB,15
Tua Tagovailoa,14778,2021,QB,21
D'Andre Swift,14797,2021,RB,17
Jerry Jeudy,14833,2021,WR,38
Cam Akers,14799,2021,RB,11
J.K. Dobbins,14800,2021,RB,16
Justin Herbert,14779,2021,QB,8
Justin Jefferson,14836,2021,WR,8
CeeDee Lamb,14832,2021,WR,17
Henry Ruggs,14834,2021,WR,61
Ke'Shawn Vaughn,14810,2021,RB,76
Michael Pittman,14842,2021,WR,49
Denzel Mims,14846,2021,WR,65
Jalen Reagor,14839,2021,WR,55
Laviska Shenault,14838,2021,WR,44
Zack Moss,14798,2021,RB,36
Tee Higgins,14835,2021,WR,26
AJ Dillon,14805,2021,RB,39
Brandon Aiyuk,14840,2021,WR,25
Jordan Love,14782,2021,QB,41
Bryan Edwards,14844,2021,WR,81
Cole Kmet,14867,2021,TE,20
Chase Claypool,14841,2021,WR,31
Devin Duvernay,14847,2021,WR,129
Darrynton Evans,14808,2021,RB,72
Jalen Hurts,14783,2021,QB,10
Jacob Eason,14780,2021,QB,55
Tyler Johnson,14864,2021,WR,127
Joshua Kelley,14807,2021,RB,63
Antonio Gibson,14852,2021,RB,13
KJ Hamler,14837,2021,WR,86
Lynn Bowden,14843,2021,WR,114
Anthony McFarland,14804,2021,RB,75
Van Jefferson,14858,2021,WR,91
James Proche,14848,2021,WR,0
Quintez Cephus,14850,2021,WR,102
Antonio Gandy-Golden,14863,2021,WR,118
Devin Asiasi,14936,2021,TE,75
LeVante Bellamy,14830,2021,RB,999
Eno Benjamin,14801,2021,RB,95
Lamical Perine,14806,2021,RB,69
DeeJay Dallas,14815,2021,RB,88
Adam Trautman,14870,2021,TE,27
Michael Warren,14816,2021,RB,999
Isaiah Hodgins,14849,2021,WR,999
Albert Okwuegbunam,14873,2021,TE,47
