pick_number,player_name,mfl_player_id,year_drafted,position,owner_id
1,Saquon Barkley,13604,2018,RB,5
2,Josh Rosen,13591,2018,QB,12
3,Rashaad Penny,13608,2018,RB,3
4,Sam Darnold,13592,2018,QB,5
5,Derrius Guice,13605,2018,RB,11
6,Ronald Jones,13606,2018,RB,2
7,Royce Freeman,13617,2018,RB,7
8,Sony Michel,13607,2018,RB,6
9,Christian Kirk,13633,2018,WR,9
10,Calvin Ridley,13629,2018,WR,11
11,D.J. Moore,13635,2018,WR,9
12,Baker Mayfield,13590,2018,QB,11
13,Hayden Hurst,13680,2018,TE,5
14,Josh Allen,13589,2018,QB,12
15,Courtland Sutton,13630,2018,WR,9
16,Nick Chubb,13610,2018,RB,1
17,Lamar Jackson,13593,2018,QB,4
18,Kerryon Johnson,13612,2018,RB,10
19,Mike Gesicki,13672,2018,TE,2
20,Anthony Miller,13639,2018,WR,6
21,Dante Pettis,13634,2018,WR,3
22,Michael Gallup,13646,2018,WR,8
23,James Washington,13631,2018,WR,7
24,Jordan Wilkins,13789,2018,RB,4
25,Chase Edmonds,13726,2018,RB,4
26,D.J. Chark,13668,2018,WR,12
27,Dallas Goedert,13674,2018,TE,3
28,Mason Rudolph,13595,2018,QB,1
29,Tre'Quan Smith,13645,2018,WR,11
30,Kalen Ballage,13621,2018,RB,10
31,Equanimeous St. Brown,13637,2018,WR,10
32,Nyheim Hines,13622,2018,RB,6
33,Bo Scarbrough,13615,2018,RB,9
34,John Kelly,13619,2018,RB,8
35,Keke Coutee,13662,2018,WR,7
36,DaeSean Hamilton,13649,2018,WR,4
1,Josh Jacobs,14073,2019,RB,12
2,Kyler Murray,14056,2019,QB,9
3,David Montgomery,14071,2019,RB,11
4,N'Keal Harry,14101,2019,WR,7
5,Miles Sanders,14079,2019,RB,2
6,DK Metcalf,14102,2019,WR,3
7,T.J. Hockenson,14138,2019,TE,10
8,Dwayne Haskins,14058,2019,QB,3
9,Deebo Samuel,14136,2019,WR,6
10,Noah Fant,14137,2019,TE,4
11,A.J. Brown,14104,2019,WR,11
12,Marquise Brown,14105,2019,WR,8
13,Parris Campbell,14112,2019,WR,12
14,Mecole Hardman,14113,2019,WR,5
15,Darrell Henderson,14087,2019,RB,4
16,Devin Singletary,14080,2019,RB,9
17,Hakeem Butler,14106,2019,WR,2
18,Alexander Mattison,14223,2019,RB,4
19,Damien Harris,14075,2019,RB,9
20,Darwin Thompson,14284,2019,RB,3
21,Justice Hill,14086,2019,RB,6
22,Jace Sternberger,14140,2019,TE,5
23,JJ Arcega-Whiteside,14107,2019,WR,9
24,Andy Isabella,14121,2019,WR,8
25,Irv Smith Jr.,14141,2019,TE,12
26,Drew Lock,14057,2019,QB,4
27,Andrew Beck,14319,2019,TE,11
28,Benny Snell,14072,2019,RB,7
29,Ryquell Armstead,14093,2019,RB,9
30,Miles Boykin,14125,2019,WR,9
31,Daniel Jones,14059,2019,QB,1
32,Terry McLaurin,14109,2019,WR,9
33,Diontae Johnson,14208,2019,WR,6
34,Jalen Hurd,14116,2019,WR,5
35,Will Grier,14062,2019,QB,10
36,Kelvin Harmon,14114,2019,WR,4
1,Joe Burrow,14777,2020,QB,5
2,Jonathan Taylor,14802,2020,RB,4
3,Clyde Edwards-Helaire,14803,2020,RB,12
4,Tua Tagovailoa,14778,2020,QB,7
5,D'Andre Swift,14797,2020,RB,11
6,Jerry Jeudy,14833,2020,WR,8
7,Cam Akers,14799,2020,RB,6
8,J.K. Dobbins,14800,2020,RB,10
9,Justin Herbert,14779,2020,QB,6
10,Justin Jefferson,14836,2020,WR,10
11,CeeDee Lamb,14832,2020,WR,3
12,Henry Ruggs,14834,2020,WR,11
13,Ke'Shawn Vaughn,14810,2020,RB,5
14,Michael Pittman,14842,2020,WR,10
15,Denzel Mims,14846,2020,WR,12
16,Jalen Reagor,14839,2020,WR,7
17,Laviska Shenault,14838,2020,WR,3
18,Zack Moss,14798,2020,RB,8
19,Tee Higgins,14835,2020,WR,4
20,AJ Dillon,14805,2020,RB,4
21,Brandon Aiyuk,14840,2020,WR,6
22,Jordan Love,14782,2020,QB,10
23,Bryan Edwards,14844,2020,WR,1
24,Cole Kmet,14867,2020,TE,10
25,Chase Claypool,14841,2020,WR,5
26,Devin Duvernay,14847,2020,WR,10
27,Darrynton Evans,14808,2020,RB,12
28,Jalen Hurts,14783,2020,QB,7
29,Jacob Eason,14780,2020,QB,3
30,Tyler Johnson,14864,2020,WR,1
31,Joshua Kelley,14807,2020,RB,1
32,Antonio Gibson,14852,2020,RB,10
33,KJ Hamler,14837,2020,WR,4
34,Lynn Bowden,14843,2020,WR,4
35,Anthony McFarland,14804,2020,RB,8
36,Van Jefferson,14858,2020,WR,6
37,James Proche,14848,2020,WR,5
38,Quintez Cephus,14850,2020,WR,10
39,Antonio Gandy-Golden,14863,2020,WR,12
40,Devin Asiasi,14936,2020,TE,7
41,LeVante Bellamy,14830,2020,RB,11
42,Eno Benjamin,14801,2020,RB,8
43,Lamical Perine,14806,2020,RB,2
44,DeeJay Dallas,14815,2020,RB,9
45,Adam Trautman,14870,2020,TE,3
46,Michael Warren,14816,2020,RB,4
47,Isaiah Hodgins,14849,2020,WR,1
48,Albert Okwuegbunam,14873,2020,TE,6
1,Trevor Lawrence,15237,2021,QB,5
2,Najee Harris,15254,2021,RB,7
3,Kyle Pitts,15329,2021,TE,12
4,Trey Lance,15240,2021,QB,3
5,Ja'Marr Chase,15281,2021,WR,10
6,Justin Fields,15238,2021,QB,8
7,Zach Wilson,15239,2021,QB,6
8,Javonte Williams,15256,2021,RB,3
9,Mac Jones,15241,2021,QB,10
10,Travis Etienne,15253,2021,RB,1
11,DeVonta Smith,15282,2021,WR,10
12,Jaylen Waddle,15284,2021,WR,6
13,Rondale Moore,15283,2021,WR,5
14,Trey Sermon,15257,2021,RB,7
15,Rashod Bateman,15293,2021,WR,12
16,Michael Carter,15258,2021,RB,4
17,Elijah Moore,15288,2021,WR,4
18,Terrace Marshall,15308,2021,WR,8
19,Pat Freiermuth,15331,2021,TE,8
20,Amon-Ra St Brown,15287,2021,WR,3
21,Kadarius Toney,15289,2021,WR,6
22,Nico Collins,15290,2021,WR,1
23,D'Wayne Eskridge,15302,2021,WR,3
24,Kenneth Gainwell,15255,2021,RB,6
25,Frank Darby,15304,2021,WR,5
26,Josh Palmer,15319,2021,WR,7
27,Amari Rodgers,15297,2021,WR,12
28,Kellen Mond,15243,2021,QB,10
29,Chuba Hubbard,15261,2021,RB,10
30,Rhamondre Stevenson,15259,2021,RB,8
31,Dyami Brown,15292,2021,WR,9
32,Kylin Hill,15265,2021,RB,10
33,Javian Hawkins,15268,2021,RB,2
34,Tylan Wallace,15285,2021,WR,2
35,Tutu Atwell,15301,2021,WR,9
36,Kyle Trask,15242,2021,QB,9
37,Hunter Long,15334,2021,TE,10
38,Tre McKitty,15333,2021,TE,7
39,Tamorrion Terry,15318,2021,WR,12
40,Elijah Mitchell,15263,2021,RB,3
41,Jacob Harris,15425,2021,WR,4
42,Khalil Herbert,15271,2021,RB,8
43,Tommy Tremble,15332,2021,TE,6
44,Brevin Jordan,15330,2021,TE,3
45,Gerrid Doaks,15488,2021,RB,11
46,Jermar Jefferson,15262,2021,RB,1
47,Jaret Patterson,15260,2021,RB,3
48,Davis Mills,15252,2021,QB,2
1,Drake London,15751,2022,WR,5
2,Kenneth Walker III,15711,2022,RB,5
3,Breece Hall,15708,2022,RB,8
4,Garrett Wilson,15753,2022,WR,7
5,Treylon Burks,15752,2022,WR,8
6,Kenny Pickett,15692,2022,QB,6
7,Jameson Williams,15756,2022,WR,12
8,Chris Olave,15754,2022,WR,3
9,James Cook,15715,2022,RB,9
10,George Pickens,15762,2022,WR,9
11,Christian Watson,15789,2022,WR,1
12,Skyy Moore,15766,2022,WR,5
13,Jahan Dotson,15755,2022,WR,5
14,Malik Willis,15694,2022,QB,5
15,Rachaad White,15721,2022,RB,8
16,Dameon Pierce,15717,2022,RB,7
17,Desmond Ridder,15697,2022,QB,3
18,Isaiah Spiller,15709,2022,RB,9
19,Tyler Allgeier,15712,2022,RB,12
20,David Bell,15758,2022,WR,3
21,Trey McBride,15794,2022,TE,6
22,Alec Pierce,15768,2022,WR,1
23,Tyquan Thornton,15787,2022,WR,4
24,Ty Chandler,15723,2022,RB,4
25,Matt Corral,15691,2022,QB,5
26,Hassan Haskins,15720,2022,RB,3
27,John Metchie,15759,2022,WR,10
28,Jelani Woods,15840,2022,TE,7
29,Zamir White,15714,2022,RB,10
30,Jalen Tolbert,15788,2022,WR,1
31,Brian Robinson,15716,2022,RB,12
32,Khalil Shakir,15761,2022,WR,10
33,Tyrion Davis-Price,15746,2022,RB,12
34,Sam Howell,15693,2022,QB,2
35,Wan'Dale Robinson,15757,2022,WR,4
36,Romeo Doubs,15779,2022,WR,10
37,Samori Toure,15841,2022,WR,4
38,Greg Dulcich,15797,2022,TE,9
