owner_id,year,wins,losses,ties,points_for,points_possible
8,2017,13,0,0,2008.43,2454.94
4,2017,9,4,0,2024.53,2350.20
3,2017,9,4,0,1926.62,2392.21
6,2017,8,5,0,1856.50,2349.06
2,2017,7,6,0,2003.74,2395.09
11,2017,7,6,0,1770.61,2306.27
7,2017,7,6,0,1701.17,2167.41
1,2017,5,8,0,1716.37,2113.11
10,2017,4,9,0,1849.63,2334.00
9,2017,4,9,0,1497.29,1937.71
5,2017,3,10,0,1276.26,1832.69
12,2017,2,11,0,1453.56,1901.78
1,2018,11,2,0,2373.43,2851.29
6,2018,10,3,0,2227.62,2673.52
8,2018,8,5,0,2153.67,2506.26
4,2018,7,6,0,2185.24,2667.43
10,2018,7,6,0,2000.59,2446.33
3,2018,7,6,0,1923.02,2587.70
2,2018,7,6,0,1856.19,2410.11
7,2018,7,6,0,1850.59,2278.82
9,2018,5,8,0,1961.10,2427.45
5,2018,5,8,0,1717.16,2169.19
11,2018,3,10,0,1596.67,2278.80
12,2018,1,12,0,1538.46,1832.16
1,2019,10,3,0,2326.82,2887.10
3,2019,8,5,0,2284.46,2703.63
6,2019,8,5,0,1978.47,2388.87
4,2019,8,5,0,1956.96,2367.02
2,2019,7,6,0,2043.67,2443.38
9,2019,7,6,0,1960.04,2261.18
8,2019,6,7,0,1850.64,2460.71
12,2019,6,7,0,1690.65,2262.25
11,2019,5,8,0,1971.63,2513.23
7,2019,5,8,0,1742.48,2291.97
10,2019,4,9,0,1647.64,2116.46
5,2019,4,9,0,1577.55,1827.86
2,2020,12,1,0,2185.79,2620.81
9,2020,10,3,0,2355.32,2714.37
4,2020,9,4,0,2225.13,2670.25
1,2020,8,5,0,2170.24,2609.18
3,2020,8,5,0,2024.78,2581.49
6,2020,7,6,0,1958.32,2548.57
10,2020,7,6,0,1836.24,2398.21
8,2020,4,9,0,2045.28,2513.36
7,2020,4,9,0,1616.27,2094.11
11,2020,3,10,0,1836.23,2335.85
12,2020,3,10,0,1729.07,2249.23
5,2020,3,10,0,1508.13,1762.72
4,2021,12,2,0,2398.56,2776.53
10,2021,11,3,0,2204.14,2529.33
3,2021,10,4,0,2272.48,2839.57
12,2021,8,6,0,1776.15,2211.82
2,2021,7,7,0,1963.80,2359.35
1,2021,7,7,0,1960.06,2388.60
7,2021,7,7,0,1832.01,2207.62
11,2021,7,7,0,1794.29,2304.47
9,2021,6,8,0,1659.79,1877.92
6,2021,4,10,0,1879.27,2398.70
8,2021,4,10,0,1618.25,2103.07
5,2021,1,13,0,1163.91,1489.99
2,2022,12,2,0,2073.41,2332.27
3,2022,11,3,0,2133.24,2478.20
12,2022,9,5,0,1883.26,2276.26
1,2022,8,6,0,1846.58,2415.43
10,2022,7,7,0,2149.59,2551.86
11,2022,7,7,0,2115.07,2549.07
7,2022,7,7,0,1804.21,2297.37
8,2022,7,7,0,1774.35,2306.01
4,2022,7,7,0,1638.94,2231.56
6,2022,5,9,0,1775.99,2417.44
5,2022,3,11,0,1547.69,1933.25
9,2022,1,13,0,1237.73,1508.39
