player_name,mfl_player_id,fft_player_id
Saquon Barkley,13604,17240
Josh Rosen,13591,17235
Rashaad Penny,13608,17308
Sam Darnold,13592,17236
Derrius Guice,13605,17241
Ronald Jones,13606,17243
Royce Freeman,13617,17245
Sony Michel,13607,17309
Christian Kirk,13633,17268
Calvin Ridley,13629,17258
D.J. Moore,13635,17265
Baker Mayfield,13590,17237
Hayden Hurst,13680,17283
Josh Allen,13589,17298
Courtland Sutton,13630,17253
Nick Chubb,13610,17246
Lamar Jackson,13593,17233
Kerryon Johnson,13612,17247
Mike Gesicki,13672,17272
Anthony Miller,13639,17255
Dante Pettis,13634,17264
Michael Gallup,13646,17259
James Washington,13631,17254
Jordan Wilkins,13789,17497
Chase Edmonds,13726,17496
D.J. Chark,13668,17292
Dallas Goedert,13674,17270
Mason Rudolph,13595,17234
Tre'Quan Smith,13645,17261
Kalen Ballage,13621,17250
Equanimeous St. Brown,13637,17307
Nyheim Hines,13622,17297
Bo Scarbrough,13615,17299
John Kelly,13619,17304
Keke Coutee,13662,17490
DaeSean Hamilton,13649,17470
Josh Jacobs,14073,18269
Kyler Murray,14056,18600
David Montgomery,14071,18239
N'Keal Harry,14101,18222
Miles Sanders,14079,18283
DK Metcalf,14102,18219
T.J. Hockenson,14138,18290
Dwayne Haskins,14058,18214
Deebo Samuel,14136,18244
Noah Fant,14137,17527
A.J. Brown,14104,18218
Marquise Brown,14105,18266
Parris Campbell,14112,18463
Mecole Hardman,14113,18587
Darrell Henderson,14087,18588
Devin Singletary,14080,18280
Hakeem Butler,14106,18229
Alexander Mattison,14223,18621
Damien Harris,14075,18230
Darwin Thompson,14284,18620
Justice Hill,14086,18256
Jace Sternberger,14140,18614
JJ Arcega-Whiteside,14107,18235
Andy Isabella,14121,18409
Irv Smith Jr.,14141,18610
Drew Lock,14057,18225
Andrew Beck,14319,18748
Benny Snell,14072,18608
Ryquell Armstead,14093,18521
Miles Boykin,14125,18636
Daniel Jones,14059,18232
Terry McLaurin,14109,18466
Diontae Johnson,14208,18615
Jalen Hurd,14116,18318
Will Grier,14062,18241
Kelvin Harmon,14114,18228
