owner_id_1,owner_id_2,owner_1_receives,owner_2_receives,year,timestamp
8,9,"Fitzgerald, Larry ARI WR",Year 2019 Round 2 Draft Pick from Dez the Luck of the Rodgers,2017,2017-11-21T16:38:35-08:00
2,10,Year 2018 Round 1 Draft Pick from In Joseph We Trust,"Lynch, Paxton DEN QB",2017,2017-11-21T16:33:53-08:00
8,7,Year 2019 Round 2 Draft Pick from Dez the Luck of the Rodgers,"McCown, Josh NYJ QB",2017,2017-11-21T13:48:14-08:00
1,7,Year 2018 Round 3 Draft Pick from Dez the Luck of the Rodgers,"Cutler, Jay MIA QB",2017,2017-11-07T19:45:47-08:00
1,9,"Taylor, Tyrod BUF QB; Abdullah, Ameer DET RB; Richardson, Paul SEA WR","Garoppolo, Jimmy SFO QB; Year 2019 Round 2 Draft Pick from Violent Delights",2017,2017-11-02T12:35:58-07:00
9,3,"McCaffrey, Christian CAR RB; Campanaro, Michael BAL WR; Year 2018 Round 3 Draft Pick from May The Forsett Be With You; Year 2019 Round 3 Draft Pick from May The Forsett Be With You","Crowell, Isaiah CLE RB; Year 2018 Round 1 Draft Pick from Ray Didn't Do It; Year 2019 Round 1 Draft Pick from Ray Didn't Do It",2017,2017-11-01T00:49:50-07:00
2,9,"Ajayi, Jay PHI RB; Beckham, Odell NYG WR","Abdullah, Ameer DET RB; Richardson, Paul SEA WR; Year 2018 Round 1 Draft Pick from Team Die Nasty; Year 2018 Round 1 Draft Pick from May The Forsett Be With You",2017,2017-10-31T17:54:48-07:00
8,4,"Agholor, Nelson PHI WR","Ross, John CIN WR; Year 2018 Round 1 Draft Pick from Manifest Dynasty",2017,2017-10-31T14:12:40-07:00
8,1,"Kelce, Travis KCC TE","Robinson, Allen JAC WR; Henry, Hunter LAC TE",2017,2017-10-31T02:23:12-07:00
4,5,"Beathard, C.J. SFO QB; Henderson, De'Angelo DEN RB; Green, A.J. CIN WR; Year 2018 Round 3 Draft Pick from In A Van Down By The Rivers; Year 2019 Round 3 Draft Pick from In A Van Down By The Rivers","Brissett, Jacoby IND QB; Crowder, Jamison WAS WR; Matthews, Jordan BUF WR; Nelson, Jordy GBP WR; Year 2018 Round 1 Draft Pick from Violent Delights; Year 2019 Round 2 Draft Pick from The (Sunday) Night's Watch",2017,2017-10-26T18:01:42-07:00
3,2,Year 2019 Round 3 Draft Pick from Team Die Nasty,Year 2017 Draft Pick 28.09,2017,2017-07-18T11:35:31-07:00
11,2,,Year 2017 Draft Pick 28.04,2017,2017-07-17T02:36:03-07:00
4,1,,Year 2017 Draft Pick 28.02,2017,2017-07-16T18:04:12-07:00
2,3,Year 2018 Round 1 Draft Pick from May The Forsett Be With You,"Smith, Alex WAS QB",2017,2017-06-25T00:22:37-07:00
1,4,Year 2017 Draft Pick 6.02,Year 2017 Draft Pick 8.12; Year 2017 Draft Pick 11.01; Year 2018 Round 1 Draft Pick from Violent Delights,2017,2017-06-09T14:39:22-07:00
11,2,Year 2017 Draft Pick 4.07; Year 2017 Draft Pick 10.07,Year 2017 Draft Pick 4.04,2017,2017-06-08T01:55:15-07:00
4,5,"Peterson, Adrian WAS RB; Year 2019 Round 1 Draft Pick from In A Van Down By The Rivers","Hunt, Kareem FA* RB; Year 2019 Round 3 Draft Pick from The (Sunday) Night's Watch",2018,2019-03-14T17:46:27-07:00
1,11,"Brady, Tom NEP QB","Rudolph, Mason PIT QB; Ekeler, Austin LAC RB; Doctson, Josh WAS WR",2018,2018-11-13T14:55:57-08:00
8,9,Year 2019 Round 2 Draft Pick from Mile High Club,"Mullens, Nick SFO QB",2018,2018-11-06T20:07:53-08:00
8,10,Year 2019 Round 2 Draft Pick from In Joseph We Trust,"Murray, Latavius MIN RB",2018,2018-10-24T14:56:09-07:00
8,9,"Wilkins, Jordan IND RB; Williams, Jamaal GBP RB; Year 2019 Round 2 Draft Pick from Violent Delights","Agholor, Nelson PHI WR; Year 2019 Round 3 Draft Pick from Manifest Dynasty",2018,2018-09-28T17:19:09-07:00
4,9,"Smith-Schuster, JuJu PIT WR; Year 2019 Round 2 Draft Pick from Ray Didn't Do It","Jackson, Lamar BAL QB; Barber, Peyton TBB RB; Wilkins, Jordan IND RB; Samuel, Curtis CAR WR; Westbrook, Dede JAC WR",2018,2018-09-25T11:23:56-07:00
1,8,Year 2020 Round 3 Draft Pick from Manifest Dynasty,Year 2020 Round 3 Draft Pick from Violent Delights,2018,2018-08-23T10:58:28-07:00
2,6,"Godwin, Chris TBB WR",Year 2020 Round 2 Draft Pick from Team Die Nasty,2018,2018-08-20T18:07:47-07:00
3,9,Year 2018 Draft Pick 3.03,Year 2019 Round 3 Draft Pick from Team Die Nasty,2018,2018-06-06T17:05:19-07:00
2,7,Year 2018 Draft Pick 2.07,Year 2018 Draft Pick 2.11; Year 2018 Draft Pick 3.11,2018,2018-06-06T13:13:42-07:00
10,1,"Cohen, Tarik CHI RB; Year 2018 Draft Pick 3.07","McCoy, LeSean BUF RB",2018,2018-06-04T18:40:39-07:00
1,11,"Gurley, Todd LAR RB","Taylor, Tyrod CLE QB; Abdullah, Ameer MIN RB; Year 2019 Round 1 Draft Pick from Violent Delights; Year 2020 Round 1 Draft Pick from Violent Delights",2018,2018-06-04T18:37:25-07:00
4,11,"Watson, Deshaun HOU QB; Year 2018 Draft Pick 2.05; Year 2019 Round 2 Draft Pick from 4th and 20","Green, A.J. CIN WR; Year 2018 Draft Pick 1.10; Year 2018 Draft Pick 1.12",2018,2018-06-04T18:34:31-07:00
3,11,Year 2020 Round 2 Draft Pick from 4th and 20; Year 2020 Round 3 Draft Pick from 4th and 20,Year 2020 Round 1 Draft Pick from Corellian Han Jobs,2019,2020-04-30T02:20:48-07:00
1,9,"McLaurin, Terry WAS WR; Year 2021 Round 2 Draft Pick from Violent Delights","Brady, Tom NEP QB; Waller, Darren OAK TE",2019,2020-04-30T02:08:08-07:00
9,11,"Henry, Derrick TEN RB","Kirk, Christian ARI WR; Andrews, Mark BAL TE; Year 2021 Round 1 Draft Pick from Ray Didn't Do It",2019,2020-04-30T00:43:54-07:00
4,9,"Sutton, Courtland DEN WR","Peterson, Adrian WAS RB; Jeffery, Alshon PHI WR; Woods, Robert LAR WR; Year 2020 Round 2 Draft Pick from The (Sunday) Night's Watch",2019,2020-04-30T00:37:56-07:00
9,2,"Bell, Le'Veon NYJ RB; Drake, Kenyan ARI RB","Murray, Kyler ARI QB; Year 2021 Round 2 Draft Pick from Stanky Tate; Year 2021 Round 2 Draft Pick from Ray Didn't Do It; Year 2021 Round 3 Draft Pick from Corellian Han Jobs; Year 2021 Round 3 Draft Pick from The (Sunday) Night's Watch; $75.00 blind bidding dollars",2019,2020-04-29T17:59:50-07:00
9,4,Year 2021 Round 2 Draft Pick from Ray Didn't Do It; Year 2021 Round 3 Draft Pick from The (Sunday) Night's Watch,"Davis, Corey TEN WR; Jeffery, Alshon PHI WR; Woods, Robert LAR WR",2019,2019-11-07T23:21:16-08:00
9,6,"Allen, Kyle CAR QB; Year 2021 Round 2 Draft Pick from Stanky Tate","Singletary, Devin BUF RB; Year 2020 Round 2 Draft Pick from Ray Didn't Do It; Year 2020 Round 3 Draft Pick from Corellian Han Jobs",2019,2019-11-07T02:37:40-08:00
3,9,"McCaffrey, Christian CAR RB","Jeffery, Alshon PHI WR; Andrews, Mark BAL TE; Year 2020 Round 3 Draft Pick from Corellian Han Jobs; Year 2021 Round 3 Draft Pick from Corellian Han Jobs; Year 2020 Round 2 Draft Pick from Corellian Han Jobs",2019,2019-10-29T00:49:03-07:00
8,2,"McCown, Josh PHI QB",$1.00 blind bidding dollars,2019,2019-09-10T18:04:39-07:00
4,9,Year 2019 Draft Pick 3.12,"Walton, Mark FA RB; $10.00 blind bidding dollars",2019,2019-06-05T22:55:23-07:00
1,10,Year 2019 Draft Pick 3.07,"Clement, Corey PHI RB; Year 2019 Draft Pick 3.11",2019,2019-06-05T20:58:44-07:00
1,9,"Garoppolo, Jimmy SFO QB; Samuel, Curtis CAR WR","Woods, Robert LAR WR; Burton, Trey CHI TE; Year 2021 Round 2 Draft Pick from Violent Delights",2019,2019-06-04T18:55:21-07:00
8,9,"Mixon, Joe CIN RB","Miller, Lamar HOU RB; Year 2019 Draft Pick 2.04; Year 2019 Draft Pick 2.07; Year 2019 Draft Pick 2.11",2019,2019-05-29T14:17:41-07:00
4,9,Year 2020 Round 1 Draft Pick from Ray Didn't Do It; Year 2021 Round 2 Draft Pick from Ray Didn't Do It,"Funchess, Devin IND WR; Year 2019 Draft Pick 1.02",2019,2019-05-19T22:52:46-07:00
2,9,"Cook, Jared NOS TE; Howard, O.J. TBB TE","Davis, Corey TEN WR; Year 2021 Round 3 Draft Pick from Team Die Nasty",2019,2019-05-19T15:40:20-07:00
9,6,"Richard, Jalen OAK RB; Moncrief, Donte FA WR; Year 2021 Round 3 Draft Pick from Stanky Tate","Ebron, Eric IND TE",2019,2019-05-15T18:05:44-07:00
8,2,"Perine, Lamical NYJ RB; Godwin, Chris TBB WR; Brate, Cameron TBB TE; Ertz, Zach PHI TE; Year 2021 Round 2 Draft Pick from Stanky Tate; Year 2022 Round 1 Draft Pick from Team Die Nasty; Year 2022 Round 2 Draft Pick from Team Die Nasty","Edwards, Gus BAL RB; Jones, Julio ATL WR; Gronkowski, Rob TBB TE; Kelce, Travis KCC TE",2020,2020-11-21T18:01:14-08:00
10,1,"Johnson, Collin JAC WR",Year 2022 Round 4 Draft Pick from TBA; $20.00 blind bidding dollars,2020,2020-11-11T11:57:43-08:00
2,3,"Thompson, Chris JAC RB","Gage, Russell ATL WR; Year 2021 Round 3 Draft Pick from Corellian Han Jobs",2020,2020-08-07T12:26:12-07:00
10,2,"Williams, Mike LAC WR; Gesicki, Mike MIA TE; Year 2021 Round 2 Draft Pick from Ray Didn't Do It","Ertz, Zach PHI TE",2020,2020-06-20T23:04:24-07:00
